1630589334.7453513,837.0,836.0,661.0
1630589335.0567145,837.0,836.0,660.0
1630589335.3677912,836.0,836.0,665.0
1630589335.6831462,843.0,837.0,663.0
1630589335.9945245,835.0,837.0,664.0
1630589336.3059666,837.0,837.0,667.0
1630589336.6173353,841.0,838.0,663.0
1630589336.9285579,835.0,838.0,662.0
1630589337.2397833,835.0,836.0,664.0
1630589337.5514116,843.0,838.0,662.0
1630589337.8622868,836.0,838.0,661.0
1630589338.173621,832.0,836.0,662.0
1630589338.4851356,841.0,837.0,663.0
1630589338.79655,836.0,837.0,663.0
1630589339.107718,836.0,836.0,666.0
1630589339.423138,843.0,837.0,662.0
1630589339.7342317,838.0,838.0,660.0
1630589340.045674,836.0,837.0,661.0
1630589340.356952,837.0,838.0,660.0
1630589340.6683927,836.0,838.0,661.0
1630589340.9798062,837.0,836.0,666.0
1630589341.2911296,841.0,837.0,663.0
1630589341.6020458,837.0,837.0,663.0
1630589341.9135163,843.0,838.0,662.0
1630589342.2250712,834.0,838.0,663.0
1630589342.5363677,839.0,838.0,662.0
1630589342.8514454,839.0,838.0,661.0
1630589343.1626685,837.0,838.0,661.0
1630589343.4743395,836.0,837.0,663.0
1630589343.785648,833.0,836.0,663.0
1630589344.096934,842.0,837.0,663.0
1630589344.4081383,837.0,837.0,663.0
1630589344.719472,843.0,838.0,663.0
1630589345.0308867,839.0,838.0,663.0
1630589345.3420186,843.0,840.0,662.0
1630589345.6535187,837.0,839.0,661.0
1630589345.9648287,838.0,840.0,660.0
1630589346.2761,838.0,839.0,661.0
1630589346.5913393,834.0,838.0,663.0
1630589346.902693,834.0,836.0,662.0
1630589347.213899,836.0,836.0,662.0
1630589347.5250926,834.0,835.0,661.0
1630589347.836682,833.0,834.0,666.0
1630589348.147928,837.0,834.0,662.0
1630589348.4592783,836.0,835.0,661.0
1630589348.7704744,838.0,835.0,661.0
1630589349.082017,833.0,835.0,667.0
1630589349.3932385,843.0,837.0,663.0
1630589349.704469,833.0,836.0,663.0
1630589350.019832,835.0,836.0,662.0
1630589350.3312962,832.0,835.0,663.0
1630589350.6424267,837.0,836.0,662.0
1630589350.9539726,837.0,834.0,660.0
1630589351.2652116,836.0,835.0,661.0
1630589351.5761657,836.0,835.0,661.0
1630589351.8878925,838.0,836.0,661.0
1630589352.199196,834.0,836.0,663.0
1630589352.5104432,836.0,836.0,667.0
1630589352.8218563,843.0,837.0,662.0
1630589353.1330574,832.0,836.0,661.0
1630589353.4444144,836.0,836.0,663.0
1630589353.7596965,835.0,836.0,660.0
1630589354.0710618,836.0,836.0,661.0
1630589354.3824074,833.0,834.0,665.0
1630589354.6936944,840.0,836.0,662.0
1630589355.0050423,838.0,836.0,663.0
1630589355.316263,837.0,836.0,663.0
1630589355.6277053,836.0,836.0,660.0
1630589355.939006,837.0,837.0,662.0
1630589356.2500365,841.0,837.0,660.0
1630589356.5612688,836.0,837.0,659.0
1630589356.8729677,834.0,836.0,661.0
1630589357.1843424,833.0,836.0,663.0
1630589357.4992697,838.0,836.0,660.0
1630589357.810635,836.0,835.0,663.0
1630589358.122127,833.0,834.0,660.0
1630589358.4332404,830.0,834.0,662.0
1630589358.7446663,835.0,834.0,661.0
1630589359.0560706,834.0,833.0,658.0
1630589359.3673358,832.0,832.0,661.0
1630589359.6786761,836.0,833.0,662.0
1630589359.9900115,837.0,834.0,662.0
1630589360.3014402,836.0,835.0,662.0
1630589360.612471,832.0,834.0,664.0
1630589360.9279542,837.0,835.0,663.0
1630589361.2393594,841.0,836.0,662.0
1630589361.550502,836.0,836.0,661.0
1630589361.8619618,833.0,835.0,662.0
1630589362.173369,838.0,837.0,661.0
1630589362.4843948,836.0,836.0,663.0
1630589362.7957218,839.0,836.0,663.0
1630589363.1071568,835.0,836.0,661.0
1630589363.4185283,833.0,836.0,665.0
1630589363.72978,838.0,836.0,660.0
1630589364.0410454,838.0,836.0,661.0
1630589364.352602,838.0,836.0,661.0
1630589364.6678712,833.0,836.0,661.0
1630589364.979157,837.0,836.0,661.0
1630589365.2903445,836.0,836.0,661.0
1630589365.6017191,838.0,836.0,662.0
1630589365.9131398,836.0,836.0,665.0
1630589366.2244954,835.0,836.0,660.0
1630589366.535741,836.0,836.0,661.0
1630589366.8471131,833.0,835.0,661.0
1630589367.158218,839.0,835.0,661.0
1630589367.4695256,840.0,836.0,663.0
1630589367.7811086,834.0,836.0,662.0
1630589368.096338,837.0,836.0,663.0
1630589368.4075341,837.0,837.0,663.0
1630589368.7189047,843.0,838.0,662.0
1630589369.0301797,834.0,837.0,661.0
1630589369.3413832,835.0,837.0,662.0
1630589369.6527617,839.0,837.0,661.0
1630589369.9640677,832.0,836.0,661.0
1630589370.2754714,836.0,835.0,662.0
1630589370.5869083,833.0,835.0,665.0
1630589370.8982785,843.0,836.0,663.0
1630589371.2095625,836.0,836.0,664.0
1630589371.520854,842.0,838.0,662.0
1630589371.8360157,834.0,837.0,662.0
1630589372.1474698,837.0,838.0,661.0
1630589372.4587257,837.0,837.0,665.0
1630589372.7701452,835.0,837.0,662.0
1630589373.0814393,832.0,835.0,662.0
1630589373.3926914,839.0,836.0,663.0
1630589373.7039483,833.0,835.0,664.0
1630589374.01543,835.0,834.0,663.0
1630589374.3267484,836.0,835.0,661.0
1630589374.6380332,832.0,835.0,661.0
1630589374.9493968,838.0,834.0,661.0
1630589375.26067,837.0,835.0,664.0
1630589375.5758848,835.0,835.0,660.0
1630589375.8872218,840.0,836.0,663.0
1630589376.198487,838.0,837.0,663.0
1630589376.5099678,833.0,836.0,667.0
1630589376.8209975,842.0,837.0,663.0
1630589377.1326008,838.0,838.0,661.0
1630589377.4437582,833.0,836.0,663.0
1630589377.7551336,837.0,836.0,660.0
1630589378.0665176,834.0,836.0,661.0
1630589378.3779004,835.0,835.0,662.0
1630589378.689204,834.0,834.0,662.0
1630589379.0044935,836.0,835.0,663.0
1630589379.3157697,838.0,835.0,663.0
1630589379.627008,837.0,836.0,666.0
1630589379.9383695,835.0,836.0,660.0
1630589380.2497609,837.0,836.0,663.0
1630589380.561064,843.0,838.0,662.0
1630589380.8723595,836.0,837.0,661.0
1630589381.1837423,836.0,837.0,665.0
1630589381.4950209,840.0,838.0,662.0
1630589381.8062658,834.0,837.0,661.0
1630589382.117513,837.0,836.0,663.0
1630589382.429006,835.0,836.0,659.0
1630589382.74429,842.0,837.0,662.0
1630589383.0554945,838.0,837.0,658.0
1630589383.3668795,835.0,837.0,666.0
1630589383.678351,835.0,837.0,660.0
1630589383.9893882,840.0,838.0,663.0
1630589384.3008416,836.0,836.0,661.0
1630589384.6121356,835.0,836.0,663.0
1630589384.9234421,836.0,836.0,666.0
1630589385.2345126,840.0,837.0,660.0
1630589385.5461113,834.0,836.0,661.0
1630589385.8574767,839.0,836.0,662.0
1630589386.1728005,836.0,837.0,664.0
1630589386.484075,835.0,836.0,661.0
1630589386.7950983,838.0,836.0,663.0
1630589387.106675,834.0,836.0,662.0
1630589387.417914,834.0,835.0,661.0
1630589387.729096,838.0,835.0,662.0
1630589388.0405889,837.0,836.0,658.0
1630589388.351786,843.0,837.0,662.0
1630589388.6633344,838.0,838.0,661.0
1630589388.9744997,837.0,838.0,664.0
1630589389.2859325,841.0,839.0,663.0
1630589389.5972736,838.0,839.0,663.0
1630589389.9123542,835.0,837.0,667.0
1630589390.223934,843.0,838.0,662.0
1630589390.5352306,835.0,838.0,661.0
1630589390.8464794,833.0,836.0,664.0
1630589391.1580002,832.0,835.0,660.0
1630589391.4692125,834.0,835.0,662.0
1630589391.7805064,839.0,834.0,662.0
1630589392.0918577,832.0,834.0,663.0
1630589392.4033475,840.0,835.0,663.0
1630589392.7144444,836.0,836.0,661.0
1630589393.0257866,836.0,836.0,661.0
1630589393.3411012,837.0,836.0,661.0
1630589393.652364,837.0,837.0,662.0
1630589393.963725,836.0,836.0,663.0
1630589394.2750573,839.0,837.0,660.0
1630589394.5863853,838.0,837.0,663.0
