1630425781.3248549,687.0,687.0,709.0
1630425781.6363204,687.0,687.0,707.0
1630425781.9476993,691.0,688.0,710.0
1630425782.258964,688.0,688.0,711.0
1630425782.57029,687.0,688.0,710.0
1630425782.8814423,683.0,687.0,710.0
1630425783.1927977,686.0,687.0,709.0
1630425783.5041804,687.0,686.0,708.0
1630425783.815362,686.0,685.0,710.0
1630425784.1266727,689.0,686.0,712.0
1630425784.4418836,690.0,687.0,708.0
1630425784.7531924,690.0,688.0,709.0
1630425785.0644565,685.0,688.0,709.0
1630425785.375763,689.0,688.0,708.0
1630425785.687059,685.0,687.0,708.0
1630425785.9983554,687.0,687.0,709.0
1630425786.3096046,687.0,686.0,710.0
1630425786.6209517,685.0,686.0,709.0
1630425786.9321833,687.0,686.0,708.0
1630425787.243486,687.0,686.0,714.0
1630425787.5547948,688.0,686.0,711.0
1630425787.870039,690.0,687.0,709.0
1630425788.1812541,692.0,688.0,707.0
1630425788.4926255,688.0,689.0,709.0
1630425788.8039463,689.0,689.0,710.0
1630425789.1148856,690.0,689.0,708.0
1630425789.4264731,687.0,689.0,709.0
1630425789.7376826,689.0,688.0,713.0
1630425790.0489507,687.0,688.0,711.0
1630425790.3602345,685.0,687.0,710.0
1630425790.6716657,687.0,687.0,708.0
1630425790.9829655,686.0,686.0,710.0
1630425791.2941902,689.0,686.0,708.0
1630425791.6094234,683.0,686.0,708.0
1630425791.9206326,687.0,686.0,709.0
1630425792.231887,690.0,687.0,711.0
1630425792.5433066,689.0,687.0,710.0
1630425792.854596,687.0,687.0,709.0
1630425793.1657586,684.0,687.0,709.0
1630425793.4772205,687.0,687.0,715.0
1630425793.7884648,687.0,686.0,710.0
1630425794.0996225,684.0,685.0,709.0
1630425794.4108298,686.0,685.0,709.0
1630425794.722234,690.0,686.0,710.0
1630425795.0375612,690.0,687.0,711.0
1630425795.3488598,686.0,687.0,710.0
1630425795.6601691,687.0,687.0,713.0
1630425795.9713783,693.0,689.0,709.0
1630425796.2826285,689.0,689.0,710.0
1630425796.5939116,686.0,688.0,709.0
1630425796.9053695,689.0,688.0,711.0
1630425797.2165651,690.0,689.0,710.0
1630425797.5279639,689.0,688.0,709.0
1630425797.8390183,686.0,688.0,714.0
1630425798.150363,689.0,688.0,711.0
1630425798.461667,688.0,688.0,712.0
1630425798.7769892,689.0,688.0,710.0
1630425799.0882504,687.0,687.0,708.0
1630425799.3995526,687.0,688.0,708.0
1630425799.7108955,688.0,687.0,710.0
1630425800.0221252,687.0,687.0,711.0
1630425800.333462,689.0,687.0,708.0
1630425800.6447053,685.0,687.0,711.0
1630425800.9558935,695.0,688.0,710.0
1630425801.2673123,687.0,688.0,710.0
1630425801.5785694,687.0,688.0,708.0
1630425801.8897512,687.0,688.0,711.0
1630425802.2051535,686.0,688.0,707.0
1630425802.5164502,688.0,687.0,709.0
1630425802.8276665,687.0,687.0,712.0
1630425803.1389716,688.0,687.0,710.0
1630425803.4503298,688.0,687.0,711.0
1630425803.7615767,688.0,687.0,711.0
1630425804.0728896,687.0,687.0,711.0
1630425804.3841279,686.0,687.0,710.0
1630425804.6953187,681.0,686.0,710.0
1630425805.0067174,687.0,685.0,711.0
1630425805.318011,686.0,685.0,715.0
