1631876134.957,905.0,905.0
1631876135.26,905.0,905.0
1631876135.559,905.0,905.0
1631876135.858,905.0,905.0
1631876136.161,905.0,905.0
1631876136.46,905.0,905.0
1631876136.759,905.0,905.0
1631876137.062,905.0,905.0
1631876137.361,904.0,905.0
1631876137.66,905.0,904.0
1631876137.963,909.0,904.0
1631876138.262,905.0,905.0
1631876138.561,906.0,905.0
1631876138.86,905.0,905.0
1631876139.163,906.0,905.0
1631876139.462,905.0,905.0
1631876139.761,906.0,905.0
1631876140.064,905.0,905.0
1631876140.363,906.0,905.0
1631876140.663,905.0,905.0
1631876140.965,905.0,905.0
1631876141.264,906.0,905.0
1631876141.564,906.0,905.0
1631876141.867,905.0,905.0
1631876142.166,904.0,905.0
1631876142.465,904.0,905.0
1631876142.764,904.0,905.0
1631876143.067,905.0,905.0
1631876143.366,905.0,905.0
1631876143.665,905.0,904.0
1631876143.968,905.0,904.0
1631876144.267,905.0,904.0
1631876144.566,905.0,904.0
1631876144.869,904.0,904.0
1631876145.168,905.0,904.0
1631876145.467,905.0,904.0
1631876145.77,906.0,904.0
1631876146.069,905.0,905.0
1631876146.368,905.0,905.0
1631876146.667,907.0,905.0
1631876146.97,906.0,905.0
1631876147.269,905.0,905.0
1631876147.568,905.0,905.0
1631876147.871,906.0,905.0
1631876148.17,905.0,905.0
1631876148.469,905.0,905.0
1631876148.772,905.0,905.0
1631876149.071,905.0,905.0
1631876149.37,907.0,905.0
1631876149.673,904.0,905.0
1631876149.972,905.0,905.0
1631876150.271,905.0,905.0
1631876150.57,905.0,905.0
1631876150.873,906.0,905.0
1631876151.172,906.0,905.0
1631876151.471,905.0,905.0
1631876151.774,905.0,905.0
1631876152.074,904.0,905.0
1631876152.372,908.0,905.0
1631876152.675,905.0,905.0
1631876152.974,906.0,905.0
1631876153.274,904.0,905.0
1631876153.576,905.0,905.0
1631876153.876,905.0,905.0
1631876154.175,905.0,905.0
1631876154.474,905.0,905.0
1631876154.776,905.0,905.0
1631876155.075,905.0,905.0
1631876155.375,905.0,905.0
1631876155.678,905.0,905.0
1631876155.977,906.0,905.0
1631876156.276,907.0,905.0
1631876156.579,905.0,905.0
1631876156.878,907.0,905.0
1631876157.177,905.0,905.0
1631876157.48,906.0,905.0
1631876157.779,907.0,905.0
1631876158.078,906.0,905.0
1631876158.377,906.0,905.0
1631876158.68,905.0,906.0
1631876158.979,905.0,906.0
1631876159.278,907.0,905.0
1631876159.581,906.0,905.0
1631876159.88,905.0,906.0
1631876160.179,905.0,905.0
1631876160.482,906.0,905.0
1631876160.781,906.0,905.0
1631876161.08,906.0,905.0
1631876161.383,906.0,905.0
1631876161.682,906.0,905.0
1631876161.981,906.0,905.0
1631876162.28,906.0,905.0
1631876162.583,906.0,905.0
1631876162.882,906.0,905.0
1631876163.181,905.0,905.0
1631876163.484,907.0,905.0
1631876163.783,905.0,906.0
1631876164.082,906.0,905.0
1631876164.385,906.0,905.0
1631876164.684,906.0,905.0
1631876164.983,906.0,905.0
1631876165.286,906.0,905.0
1631876165.585,906.0,905.0
1631876165.885,906.0,905.0
1631876166.184,906.0,905.0
1631876166.487,906.0,906.0
1631876166.785,906.0,905.0
1631876167.084,907.0,906.0
1631876167.388,909.0,906.0
1631876167.687,906.0,906.0
1631876167.986,905.0,906.0
1631876168.289,906.0,906.0
1631876168.588,905.0,906.0
1631876168.887,906.0,906.0
1631876169.19,905.0,906.0
1631876169.489,906.0,906.0
1631876169.788,906.0,906.0
1631876170.087,904.0,906.0
1631876170.39,907.0,905.0
1631876170.689,906.0,905.0
1631876170.988,906.0,905.0
1631876171.291,905.0,905.0
1631876171.59,905.0,905.0
1631876171.889,906.0,905.0
1631876172.192,905.0,905.0
1631876172.491,906.0,905.0
1631876172.79,905.0,905.0
1631876173.093,906.0,905.0
1631876173.392,906.0,905.0
1631876173.691,905.0,905.0
1631876173.99,906.0,905.0
1631876174.293,905.0,905.0
1631876174.592,906.0,905.0
1631876174.891,907.0,905.0
1631876175.194,905.0,905.0
1631876175.493,904.0,905.0
1631876175.792,905.0,905.0
1631876176.095,904.0,905.0
1631876176.394,905.0,905.0
1631876176.693,906.0,905.0
1631876176.996,905.0,905.0
1631876177.295,906.0,905.0
1631876177.594,905.0,905.0
1631876177.897,905.0,905.0
1631876178.197,905.0,905.0
1631876178.496,907.0,905.0
1631876178.795,905.0,905.0
1631876179.098,905.0,905.0
1631876179.397,906.0,905.0
1631876179.696,907.0,905.0
1631876179.999,906.0,905.0
1631876180.298,905.0,905.0
1631876180.597,906.0,905.0
1631876180.9,905.0,905.0
1631876181.199,906.0,905.0
1631876181.498,905.0,905.0
1631876181.801,905.0,905.0
1631876182.1,906.0,905.0
1631876182.399,906.0,905.0
1631876182.698,904.0,905.0
1631876183.001,907.0,905.0
1631876183.3,905.0,905.0
1631876183.599,905.0,905.0
1631876183.902,905.0,905.0
1631876184.201,906.0,905.0
1631876184.5,906.0,905.0
1631876184.803,906.0,905.0
1631876185.102,906.0,905.0
1631876185.401,906.0,905.0
1631876185.704,906.0,905.0
1631876186.003,905.0,905.0
1631876186.302,905.0,905.0
1631876186.601,905.0,905.0
1631876186.904,907.0,905.0
1631876187.203,906.0,905.0
1631876187.502,906.0,905.0
1631876187.805,906.0,905.0
1631876188.104,905.0,905.0
1631876188.404,905.0,905.0
1631876188.706,905.0,905.0
1631876189.005,905.0,905.0
1631876189.304,905.0,905.0
1631876189.607,905.0,905.0
1631876189.906,905.0,905.0
1631876190.205,906.0,905.0
1631876190.505,906.0,905.0
1631876190.807,905.0,905.0
1631876191.106,906.0,905.0
1631876191.406,904.0,905.0
1631876191.709,906.0,905.0
1631876192.008,905.0,905.0
1631876192.306,905.0,905.0
1631876192.609,905.0,905.0
1631876192.909,907.0,905.0
1631876193.208,906.0,905.0
1631876193.511,906.0,905.0
1631876193.81,904.0,905.0
1631876194.109,905.0,905.0
1631876194.408,905.0,905.0
1631876194.711,906.0,905.0
1631876195.01,906.0,905.0
1631876195.309,905.0,905.0
1631876195.612,906.0,905.0
1631876195.911,905.0,905.0
1631876196.21,904.0,905.0
1631876196.513,904.0,905.0
1631876196.812,905.0,905.0
1631876197.111,905.0,905.0
1631876197.414,905.0,905.0
1631876197.713,905.0,905.0
1631876198.012,905.0,905.0
1631876198.311,906.0,904.0
1631876198.614,905.0,905.0
1631876198.913,905.0,904.0
